ProviderSymbol,ProviderName,ProviderGUID,ChannelSymbol,ChannelName,QueryPath,Query,TargetGroup,,,
DC_LL_LF_EVENTS,Domain Controllers-Logon-Failure,{0D2F6021-4853-4092-B688-FB9BC9330BB0},DC_LL_LF_LOCALINTERACTIVE,Domain Controllers-Logon-Failure/Logon Failure Interactive (2),Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4625)]] and *[EventData[Data[@Name='LogonType']='2']]</Select>",,,,
DC_LL_LF_EVENTS,Domain Controllers-Logon-Failure,{0D2F6021-4853-4092-B688-FB9BC9330BB0},DC_LL_LF_NETWORK,Domain Controllers-Logon-Failure/Logon Failure Network (3),Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4625)]] and *[EventData[Data[@Name='LogonType']='3']]</Select>",,,,
DC_LL_LF_EVENTS,Domain Controllers-Logon-Failure,{0D2F6021-4853-4092-B688-FB9BC9330BB0},DC_LL_LF_REMOTEINTERACTIVE,Domain Controllers-Logon-Failure/Logon Failure Remote Interactive (10),Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4625)]] and *[EventData[Data[@Name='LogonType']='10']]</Select>",,,,
DC_LL_LF_EVENTS,Domain Controllers-Logon-Failure,{0D2F6021-4853-4092-B688-FB9BC9330BB0},DC_LL_LF_SERVICE,Domain Controllers-Logon-Failure/Logon Failure Serivice (5),Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4625)]] and *[EventData[Data[@Name='LogonType']='5']]</Select>",,,,
DC_LL_LF_EVENTS,Domain Controllers-Logon-Failure,{0D2F6021-4853-4092-B688-FB9BC9330BB0},DC_LL_LF_UNLOCK,Domain Controllers-Logon-Failure/Logon Failure Unlock (7),Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4625)]] and *[EventData[Data[@Name='LogonType']='7']]</Select>",,,,
DC_LL_LS_EVENTS,Domain Controllers-Logon-Success,{24ECD28C-778B-46C6-9486-17EF931F15A2},DC_LL_LS_BATCH,Domain Controllers-Logon-Success/Logon Success Batch (4),Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4624)]] and *[EventData[Data[@Name='LogonType']='4']]</Select>",Domain Controllers,,,
DC_LL_LS_EVENTS,Domain Controllers-Logon-Success,{24ECD28C-778B-46C6-9486-17EF931F15A2},DC_LL_LS_LOCALINTERACTIVE,Domain Controllers-Logon-Success/Logon Success Interactive (2),Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4624)]] and *[EventData[Data[@Name='LogonType']='2']]</Select><Suppress Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4624)]] and *[EventData[Data[@Name='TargetDomainName']='Window Manager']]</Suppress>",Domain Controllers,,,
DC_LL_LS_EVENTS,Domain Controllers-Logon-Success,{24ECD28C-778B-46C6-9486-17EF931F15A2},DC_LL_LS_NETWORK,Domain Controllers-Logon-Success/Logon Success Network (3),Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4624)]] and *[EventData[Data[@Name='LogonType']='3']]</Select><Suppress Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4624)]] and *[EventData[Data[@Name='TargetUserSid']='S-1-5-18']]</Suppress>",Domain Controllers,,,
DC_LL_LS_EVENTS,Domain Controllers-Logon-Success,{24ECD28C-778B-46C6-9486-17EF931F15A2},DC_LL_LS_REMOTEINTERACTIVE,Domain Controllers-Logon-Success/Logon Success Remote Interactive (10),Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4624)]] and *[EventData[Data[@Name='LogonType']='10']]</Select>",Domain Controllers,,,
DC_LL_LS_EVENTS,Domain Controllers-Logon-Success,{24ECD28C-778B-46C6-9486-17EF931F15A2},DC_LL_LS_SERVICE,Domain Controllers-Logon-Success/Logon Success Service (5),Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4624)]] and *[EventData[Data[@Name='LogonType']='5']]</Select><Suppress Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4624)]] and *[EventData[Data[@Name='TargetDomainName']='NT AUTHORITY']]</Suppress>",Domain Controllers,,,
DC_LL_LS_EVENTS,Domain Controllers-Logon-Success,{24ECD28C-778B-46C6-9486-17EF931F15A2},DC_LL_LS_UNLOCK,Domain Controllers-Logon-Success/Logon Success Unlock (7),Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4624)]] and *[EventData[Data[@Name='LogonType']='7']]</Select>",,,,
